מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
הבריח (סחורה); הַרַّבּ هرّب
הִתְעוֹרֵר; צִחִי صحي
שכינה, נוכחות אלוהית; אֵלְוֻג׳וּד אֵלְאִלַהִי الوجود الالهي
יִחֵל, קיווה; תְמַנַّא تمنّى
נראה ש...; אֵ(ל)טّ׳אהֵר אִנّוֹ الظّاهر انّه
נמלט, בּרח, נס; הַרַבּ هرب
נרקומן, מכור (מכור לסמים); מֻדְמֵן مُدْمِن
נשבה, נתפס; אִנְמַסַכּ أنمسك
ניקוי, ניקיון; תַנְטִ׳יף تَنْظِيف
רק רגע; לַחְטַ׳ה שְוַיّ لحظة شويّ 
זַמָּר (מקצוע); מֻעַ׳נִّי مُغَنِّي 
קָשׁוּר (בחוט, בחבל); מַרְבּוּט مَرْبُوط
קשר, קומוניקציה; אִתִّצַאל اتّصال
הַבְטָחָה; וַעְד وَعْد
תיקון; תַצְלִיח تصليح
מפחיד; מֻחִ׳יף مخيف
רוב; מֻעְטַ׳ם معظم
דְּלִי; סַטְל سَطْل
נורמלי, טבעי; טַבִּיעִי طبيعي
הדדי; מֻתַבַּאדֶל مُتَبَادِل
קוֹסֵם; סַאחֵר ساحر
אחז, תפס, החזיק; מִסֵכּ مسك
על יד, ליד; חַדّ حَدّ
ארמון; קַצְר قَصْر 
תקף, התנפל; הַגַ׳ם هجم
אָסַר (שם במאסר); סַגַ׳ן سجن
שְׁבִיתָה; אִצְ׳רַאבּ إِضْرَاب
אכלן, זללן; פַגְ׳עַאן فَجْعَان 
חַמְדָן, תַּאֲוְותָן; פַגְ׳עַאן فجعان
בילויים; סַהְרַאת سهرات
קיום, הימצאות; וֻג׳וּד وجود
יֶדַע; עִלְם علم
הֶפְסֵד; חְ׳סַארַה خْسَارَة
אומץ; שַגַ׳אעַה شجاعة
משועמם; זַהְקַאן زهقان
נפגש; אִלְתַקַא إلتقى
תואר; לַקַבּ لقب
בִּילַה (זמן); קַצַ׳א قضى
היה סבלן, התאזר בסבלנות; צַבַּר صبر
הרתה, נכנסה להריון; חִבּלַת حبلت
מיעוט; אַקַלִّיֵّה اقلّيّة
שרוך, שרוכים (של נעל); רַבַּّאט ربّاط 
רזה; צְ׳עִיף ضعيف 
גלוי; מַכְּשוּף مكشوف
פרשנות; תַעְלִיק تعليق
אבידה; פֻקְדַאן فقدان
ניצח (במלחמה); אִנְתַצַר انتصر
קישורים, לינקים; רַוַאבֵּט روابط
עניבה; רַבְּטַה ربطة
הִבְטִיחַ; וַעַד وَعَد
הבטחות; וְעוּד وعود
רֶגֶש; אִחְסַאס إِحْسَاس
נלחם, נאבק; כַּאפַח كافح
מאמן; מֻדַרֵّבּ مدرّب
פרט; תַפְצִיל تفصيل
אלכוהול, כהל; כֻּחוּל كحول
נִיצֵחַ; כִּסֵבּ كِسب
רָזָה; צִ׳עֵף ضعف
קפץ; קַפַז قفز
הִתְאַמֵן, תִרְגֵל; תְדַרַّבּ تدرّب 
אִימֵּן; דַרַّבּ درّب 
הִרְגִישׁ; שַעַר شَعَر 
קֵירֵב, התקרב; קַרַّבּ قرّب 
הִתְגַרֵש; טַלַّק طلّق
הָרַס, קִילְקֵל; חַ׳רַّבּ خرّب 
כינוי; לַקַבּ لقب
טָעַן (טען טענה); אִדַّעַא ادّعى 
בילוי; סַהְרַה سهرة
טיפה; נֻקְטַה نقطة
מתוח (שמתחו אותו); מַשְדוּד مشدود
העיר (משינה); צַחַّא صحّى
רזים; צְ׳עַאף ضعاف
כִּיבָּה; טַפַא طَفَى
קרימינולוגיה; עִלְם אֵלְגַ׳רִימֵה علم الجريمة
התאכזב; חַ׳אבּ אַמַלוֹ خاب أمله
איכזב אותו; חַ׳יַّבּ אַמַלוֹ خيّب أمله
הפך; קַלַבּ قلب
הֵעִיר (משינה); פַיַّק فَيَّق
שָׂרוּף; מַחְרוּק محروق
השתכר, הִרְוִויחַ (משכורת); קַבַּץ׳ قبض
פֵּירֵש (נתן פרשנות); עַלַّק عَلَّق
הִתְכּוֹנֵן; חַצַّ׳ר חַאלוֹ حضّر حاله
חָזַר (על החומר); רַאגַ׳ע راجع
פָּנָה (אל מישהו); רַאגַ׳ע راجع
יאחוז, יתפוס; יִמְסֵכּ يمسك
הִתְקַמְצֵן; תְבַּחַّ׳ל تبخّل 
קיווה; תְאַמַّל تأمّل 
טופל, קיבל טיפול; תְעַאלַג׳ تعالج 
שָׁבַת (עשה שביתה); אַצְ׳רַבּ أَضْرَب
פָּנָה (אל מישהו); תְוַגַّ׳הּ توجّه
גירושין; טַלַאק طَلَاق
שִיקֵּר; חַ׳רַט خَرَط
השתעמם, נמאס (לו); מַלّ ملّ
נעלם; אִחְ׳תַפַא إختفى 
בדידות; וִחְדֵה وحدة
היה שונה; אִחְ׳תַלַף עַן اختلف عن
שקט, רגוע (ללא דאגות); מֻרְתַאח אֵלבַּאל مرتاح البال
החליף עם, התחלף ב; תְבַּאדַל تبَادل
הלבין (נעשה לבן); אִבְּיַץّ׳ إبيضّ
הימור, סיכון; רִהַאן رهان
סמרטוט; מִמְסַחַה مِمْسَحَة
מִסְכֵּן; חַזִיט حزيط
סִיפֵּר (תיאר במילים); חַכַּא حكى 
שָׁמַן, הִשְׁמִין (העלה במשקל); נִצֵח نصح 
באין, במחסור של (משהו); מִן קִלְّת من قلّة
דְּבַשׁ (פירות); דִבְּס دِبْس
נִיצָּחוֹן (במלחמה); אִנְתִצַאר إنتصار
עֵץ (חתיכה של); חַ׳שַבֵּה خَشَبِة
פגע (ב); צַאבּ صاب
חִיֵּיךְ; אִבְּתַסַם إِبْتَسَم
שמחה; פַרְחַה فرحة
תָּפַר (בגד); חַ׳יָّט خيّط
צנוע (נמנע מהדגשת תכונותיו הטובות.); מִתְוַאצֵ׳ע متَواضِع
חמדן; טַמַّאע طَمَّاع
צומת, פנייה (בדרך); כּוֹרְבַּה كُورْبَة
מָלֵא; מְעַבַּّא معبّى
סְכוּמִים; מַבַּאלֵע׳ مَبَالِغ
לִיכְלוּךְ; וַסַח׳ وَسَخ
בִּמקום; מַחַלّ محلّ
העברה, מעבר; נַקְלֵה نَقْلِة
סמרטוטים; מַמַאסֵח مَمَاسِح
מַטָּלָה; וַאגֵ׳בּ وَاجِب
ניתק; קַטַע قَطَع
מָתַח;  שַדّ  شَدّ
הסתיר; אַחְ׳פַא اخفى
פינק; דַלַّל دلّل
דָּלוּק (אור, מכשיר); מַצְ׳וִי مَضْوِي
כָּבוּי (אור, מכשיר); מַטְפִי مَطْفِي
הלבין (הפך אותו ללבן); בַּיַّץ׳ بيّض
נתן לו כבוד (מילולית - הלבין את פניו); בַּיַّץ׳ וֻגְ׳הוֹ بيّض وجهو
סיפר (ל...); חַ׳רַّף خرّف
ארמונות; קְצוּר قْصُور
הזיק; צַ׳רّ ضرّ
הגן, שמר; חַמַא حَمَى
פרטים; תַפַאצִיל تفاصيل
זכות השיבה; חַק֘ אִלְעַוְדַה حقّ العودة
רגש; עַאטִפַה عَاطِفَة
רגשות; עַוַאטֵף عَوَاطِف
חזרה, שיבה; עַוְדַה عودة
דיבר בצורה שבורה, קישקש (בשפה); לַטַّש لطش
קישקוש, דיבור בצורה שבורה ושטחית (בשפה); תַלְטִיש تلطيش
התרושש; טִפֵר طفر 
פיזיותרפיה; עִלַאג׳ טַבִּיעִי علاج طبيعي
התארגן, התכונן; גַ׳הַّז חַאלוֹ جهّز حاله
הרטיב; בַּלّ بلّ
העביר זמן; קַצַّ׳א قضّى
מיני; גִ׳נְסִי جنسي
כלפי; תִגַ׳אהְ تجاه
אירח; אִסְתַצַ׳אף استضاف
כלוא; מַחְבּוּס محبوس
טעימה, קצת מ (חשיפה לחלק קטן או תמצית של משהו); נַבְּדֵ׳ה نبذة
יוצא; טַאלֵע طالع
מֵמוּנִים, אַחְרָאִיים; מַסְאוּלִין مَسْؤُولِين
אונס; אִעְ׳תִצַאבּ إغْتِصاب
חזות (חזה ברבים); צְדוּרַה صدورة
טיפות; נֻקַט نقط
חילוף, החלפה; תַבַּאדֹל تبادل
רגשות, הרגשה; שֻעוּר شعور
מזל טוב מראש; מַבְּרוּכּ סַלַפַן مَبْرُوك سلفًا
בעיה, עניין; מַסְאַלֵה مسالة
מְרוֹב; מִן כֻּתְ׳ר من كثر
האשים; אִתַّהַם اتّهم
ספסל הנאשמים; מַקְעַד אֵלְמֻתַﬞהַמִין مَقْعَد المتّهمين
טייל, הסתובב (ברחובות); טַשّ طَشّ
שובת; מֻצְ׳רֵבּ مضرب
מְיֻמָּנוּת, מֻמְחִיּוּת; מַהַארַה مَهَاْرَة
מרגיש; שַאעֵר شَاعر
נִגְלָה, הוֹפִיעַ, נִרְאָה; טַ׳הַר ظهر
תּוֹאָרִים; אַלְקַאבּ القاب
שְׁלַבִּים; מַרַאחֵל مراحل
הִזִּיק, פָּגַע (ב); אַדַ׳א اذى
פְּשָׁעִים; גַ׳רַאאֵם جرائم
פִּישֵּׁט (הפך לפשוט); בַּסַّט بسّط
הִפְחִיד; רַעַבּ رعب
רֶוַוח; רִבְּח ربح
הִתְקִיף; הַאגַ׳ם هاجم
קבוצה טרם נבדק; שלّה شلًّة
הִיפְנָה, כִּיוֵּון; וַגַّ׳הְּ وجّه
נִכְלָא; אִנְחַבַּס انحبس
חֲזָרָה (על משהו); תִכְּרַאר تكرار
עוֹד מְעַט; בַּעְד קַלִיל بعد قَلِيل
מִיעוּט, הֵיעָדֵר; קִלֵّה قلّة
בְּ; בְּ ب
ה (ה הידיעה); אִלְ ال
קַל (לא קשה); סַהְל سَهْل
בדיוק; בִּ(אל)-זַّבֵּט بالزّبط
מקורי; אַצְלִי أصلي
כבושה; מֻחְתַלֵّה محتلّة
בושה; עֵיבּ عِيب
גַּנָּב, שׁוֹדֵד; חַרַאמִי حَرَامِي
באופן כללי; בְּשַכֵּל עַאםّ بشكل عامّ
לאורך כל היום; טוּל אֵ(ל)נְّהַאר طول النّهار
חוֹם; חַרַארַה حرارة
נפש; נַפְס نفس 
יקר (לבן אדם); עַזִיז عزيز
פתרון; חַלّ حلّ
סַפָּר (מקצוע); חַלַّאק حَلَّاق
תחרות, משחק (בספורט); מֻבַּארַאה مُبَارَاة
תפילת הבוקר; צַלַאת אֵ(ל)צֻّבְּח صلاة الصبح
תפילת הצהרים; צַלַאת אֵ(ל)-טֻّ׳הֻר صلاة الظهر
תפילת הערביים; צַלַאת אֵלְעַצֵר صلاة العصر
תפילת הערב; צַלַאת אֵלְמַעְ׳רֵבּ صلاة المغرب
תפילת הלילה; צַלַאת אֵלְעִשַאא صلاة العشاء
נתן מחסה, שמר (בביטוי ״אללה יסתר״); סַתַר ستر
ויכוח; גִ׳דַאל جدال
דיון; מֻנַאקַשֵה مناقشة
נרות; שֻמוּע شموع
לא נורא; מַעַלֵיש مَعَلِيش
בִּרְיוֹן; קַבַּצַ׳אי قبضاي
אבוקה, לפיד; שֻעְלֵה شُعْلِة
אבטחה; חִראסֵה حراسة
אצבעות; אַצַאבֵּע  اصابع
דופק; נַבֵּץ׳ نبض
שִׂנְאָה; כֻּרְה كُرْه
שווה, משתלם; בִּיסְוַא بيسوى
נוכֵל; נַצַّאבּ نصّاب 
שָׁאַל (לקח משהו בהשאלה); אִסְתַעַאר إِسْتَعَار
רשלנות, הזנחה; אִהְמַאל اهمال
רשלן; מִהְמֵל مهمل
רָשׁוּת הכְּלל; אֵלְמֻלְכּ אֵלְעַאםّ الملك العامّ
תסביך; עֻקְדֵה عقدة
תמרור; אִשַארַה إشارة
הבריק; לַמַّע لمّع 
יָנָק; רִצֵ׳ע رضع 
סיבך; עַקַّד عقّد 
שכול; פֻקְדַאן فقدان
שָׂכִיר (עובד בשכר); אַגִ׳יר أَجِير
נְשָׁמָה; רוּח رُوح
דפק בדלת; דַקّ אֵלְבַּאבּ دقّ الباب
נָצַץ, הִבְרִיק; לַמַע لمع
נִצְמַד; תְלַזַّק تلزّق
ננזף; תְבַּהְדַל تبهدل 
נשא את, סָבָל את; תְחַמַّל تحمّل
נשאר, נותר; פִצֵ׳ל فضل
נקמה; תַ׳אר ثار
קִנְיָן, רכוש; מֻלְכִּיֵّה ملكية
זכות הַקִנְיָן; חֻקוּק אֵלְמֻלְכִּיֵّה حقوق الملكيّة
קנין רוחני; מֻלְכִּיֶה פִכְּרִיֶה ملكية فكرية
פָּעַם, דָּפַק (הלב פעם, הלב דפק); דַקّ دقّ 
כללי, פומבי; עַאםّ عامّ
מוּרכּב, מסוּבּך; מְעַקַّד معقّد
מַר (טעם); מֻרّ  مُرّ
שָתַק; סַכַּת سَكَت
מלוח; מַאלֵח مالح
שמר; חַאפַט׳ حافظ 
נכדים; אַחְפַאד أحفاد
עוגן; מִרְסַאהּ مرساه 
הזדמנות; מֻנַאסַבֵּה مناسبة
המזרח הרחוק; אֵ(ל)-שַّרְק אֵלְאַקְצַא الشرق الاقصى
גָנַב (פועל); סַרַק سرق 
נגנב; אִנְסַרַק انسرق 
גנבים; חַרַאמִיֵّה حراميّة 
שקט; הֻדוּאְ هدوء
קַבַר; דַפַן دفن
הלוויה; גַ׳נַאזֵה جنازة
תפילות; צַלַוַאת صَلَوَات
סימפטי, נחמד (אדם); דַמّוֹ חְ׳פִיף دمّه خفيف
משפטים; גֻ׳מַל جمل
מסטיק; עִלְכֵּה علكة
נופים, מראות; מַנַאטֵ׳ר مناظر
חיסון; תַטְעִים تَطْعِيم 
נדבּק (במחלה); אִנְעַדַא انعدى
הִתְחַבֵּא; תְחַ׳בַּّא تخبّى 
סיבוך; תַעְקִיד تعقيد
גילה, חשף; כַּשַף كشف
התגלה; אִנְכַּשַף انكشف
יקרים (לבני אדם); אַעִזַّאא اعزّاء
גִייֵּס (גייס לצבא); גַ׳נַّד جَنَّد
קפץ, דילג; נַטّ نطّ
הִתְחָרָה (עם); תְבַּארַא (מַע) تبارى (مع)
נִיהוּל; אִדַארַה إِدَارَة
יציבות; אִסְתִקְרַאר إِسْتِقْرَار
עדיין; בַּעֵד بعد
עָגָן (ספינה, אונייה); רַסַא رسى 
בִּפְנִים, בּתוֹךְ; דַאחֵ׳ל داخل
מורים; אַסַאתְדֵ׳ה اساتذة 
צדדים; גַ׳וַאנֵבּ جوانب
הדליק, הצית; וַלַّע ولّع
וִיתֵּר; תְנַאזַל تْنَازَل 
פלפל חריף; פִלְפֵל חַארّ فلفل حارّ
רָהִיטִים, רִיהוּט; אַתַ׳את׳ أَثَاث
אזורים; מַנַאטֵק مناطق
תנאים; שֻרוּט شُرُوط
גְּנֵיבָה; סִרְקַה سِرْقَة
הִשְׁתַּכְנֵעַ; אִקְתַנַע إقتنع
נִפְרַד (ממישהו); פַארַק فَارَق
הִתְחָרָה; נַאפַס نافس
הִתְחַנֵּן; תְרַגַ׳ّא ترجّى
הסתנן; תְסַלַّל تسلّل 
שכנע; אַקְנַע أقنع 
הזניח; אַהְמַל أهمل 
חיסן; טַעַّם طعّم 
ויתר (عن עַן); תְחַ׳לַّא تخلّى
עקירה (שן); חַ׳לֵע خلع
חנק; חַ׳נַק خنق
פתרונות; חֻלוּל حلول
מחשבה, רצון; חַ׳אטֵר خاطر
לפי רצון; עַלַא חַ׳אטֵר على خاطر
סִיפֵּר (עשה תספורת); חַלַק حلق
חֵלֶק; גֻ׳זְא جزء 
נִפְרַד (רומנטית); אִנְפַצַל إنفصل 
רַבְרְבָן; אַבּוּ עַלִי أبو علي
פּוֹשֵׁט רֶגֶל; מְפַלֵّס مفلّس
קָטִין; קַאצֵר قاصر
עַז, חָזָק; שַדִיד شديد
הִצְמִיד; לַזַّק لزّق
הִדְבִּיק (במחלה); עַדַא عدى 
הִדְבִּיק (חיבר באמצעות דבק); לַזַّק لزّق
דמות; שַחְ׳ץ شخص 
עצמו (+ כינוי חבור); נַפְסוֹ نفسه
הִשְׁקִיף (יש לו נוף ל...); טַלّ طَلّ
טביעת אצבע; בַּצְמֵה بصمة
הצביע (הראה באצבעו); אַשַّר أَشَّر
מַקְסִימוּם, המקסימלי; אַקְצַא أَقصَى
עצמאי (לא שכיר); בִּישְתְעֵ׳ל עַלַא חְסַאבּוֹ بِيشْتْغِل عَلَى حْسَابُه 
אוֹפִי, אִישִׁיּוּת; שַחְ׳צִיֵّה شَخْصِيِّة
לֵידָה; חִ׳לְפֵה خِلْفِة
נראה (שאתה...); שִכְּלַכּ شِكْلَك
הִסְתּוֹבֵב; דַאר دَار
הִשְׁאִיל (נתן משהו בהשאלה); עַאר عَار
עוּבְדָּה; וַאקֵע وَاقِع
סובל, נושא את; מִתְחַמֵّל متحمّل
הפרדה; פַצְל فَصْل
השתוקק, התגעגע; חַןّ حَنّ
נזף, בייש; בַּהְדַל بهدل
צְרָכִים מְיוּחָדִים; אִחְתִיַאגַ׳את חַ׳אצַّה إحْتِياجات خاصَّة
עצום (רב עוצמה); גַ׳בַּّאר جَبَّار
סימפטומים, תסמינים; אַעְרַאץ׳ أَعْرَاض
סימפטום, תסמין; עַרַץ׳ عَرَض
שמות; אַסְמַאא أَسْمَاء
תלונה; שַכְּוֵה شكوة
תלונות; שַכַּאוִי شكاوي
צורות; אַשְכַּאל أَشْكَال 
הסתלק, עזב; פַלّ فلّ
הציג; עַרַץ׳ عَرَض
קפץ ממקומו, קם בפתאומיות; פַזّ فزّ
דִמיין; תְחַ׳יַّל تخيّل
צביעות; נִפַאק نفاق
שתיקה; סֻכּוּת سكوت
מראֶה (משהו שרואים); מַנְטַ׳ר منظر
מנכ״ל (מנהל כללי); מֻדִיר עַאםّ مدير عامّ
גלגלים; עְגַ׳אל عجال
חום (גוף); סְח׳וּנֵה سخونة
פלפל חריף, ״חריף״ (רוטב חריף); שַטַّה شَطَّة
התחסן (קיבל חיסון); תְטַעַّם تطعّم
מחוסן; מְטַעַّם مطعّم 
הושיט; מַדّ مدّ
ניהל; דַאר دَار
תופעות לוואי; אַעְרַאץ׳ גַ׳אנִבִּיֵّה  أعراض جانبيّة
צדדי; גַ׳אנְבִּי جانبي
שווה (במתמטיקה); יֻסַאוִי يساوي
גופני; בַּדַנִי بدني
כושר גופני; לַיַאקַה בַּדַנִי لياقة بدني
השתגע; אִנְגַ׳ןّ انجنّ
השטחים הכבושים; אֵלְמַנַאטֵק אֵלְמֻחְתַלֵﬞה المناطق المحتلّة
דן (בנושא); נַאקַש ناقش
לוּלֵא, אילוּלֵא (אילו לא - לפני שם עצם); לַוְלַא لولا
אילו לא (לפני פועל); לַו מַא لو ما
סִימַן; אִשַארַה إشارة
פְּשָׁרָה, דרך ביניים (פתרון אמצע בין שני צדדים); חַלّ וַסַט حلّ وسط
ויתור; תַנַאזֻל تنازل
אשת איש, אישה; חֻרְמַה حُرمَة
עזוּב, נטוּש; מַתְרוּכּ متروك
הַלְוָויָה; עַזַא عزا
הִרְהֵר, הָגָה; צָפָן صَفَن
שמוּר; מַחְרוּס محروس
השפלה, נזיפה; בַּהְדַלֵה بهدلة
רכוש, קניין; מֻלְכּ ملك
מוזנח, זניח; מֻהְמַל  مُهمَل
שָׁאוּל, מוּשְׁאָל; מֻסְתַעַאר مستعار
שׁוֹאֵל (לוקח משהו בהשאלה); מִסְתְעִיר مسْتعِير
עָקַר; חַ׳לַע خلع
העמיס; חַמַّל حمّل
סִימֵּן; אַשַّר أَشَّر
גּוֹרָל; חַתֵם حتم
דִּיבּוּר, דְּבָרִים; חַדִית׳ حَدِيث
עָזוּב, מוּזְנָח; סַאיֵבּ سايب
גּוּף; גַ׳סַד جَسَد
הִסְתַּלֵּק; אִנְצַרַף انصرف
חָסֵר; נַאקֵץ نَاقِص
הִרְעִיל; סַםّ سَمّ
תְּקוּפָה, עִידָּן; עַצְר عصر
שָׁמוּר; מַסְתוּר مستور
אָהַב, חִיבֵּב; עַזّ عزّ
הוּצַּג; אִנְעַרַץ׳ إنعرض
בושה, חרפה; עַאר عار
מטאטא; מֻכֻּנְסֵה مكنسة
שואב אבק; מִכִּנְסֵה כַּהְרַבַּאאִיֵّה مكنسة كهربائيّة
ברז; חַנַפִיֵّה حنفيّة
חדר שינה; עֻ׳רְפֵת אֵ(ל)נّוֹם غرفة النّوم
מִשְׁקָפַיִים; נַטַ׳ארַאת نَظَارَات
מכשירים; אַגְ׳הִזֵה أجهزة
פַּח זבל; דַלוּ זְבַּאלֵה دَلُو زْبَالِة
מַסְרֵק; מֻשְט مُشْط
כיור; מַעְ׳סַלֵה مغسلة
מַדָּף; רַףّ رَفّ
מיקרוגל; מִיכְּרֻוֵיף ميكرويف
כְּלִי, מַכְשִׁיר; אַדַאה أداة
מִקְרֶה; צֻדְפֵה صدفة
מפריע; מֻזְעֵג׳ مزعج
קטטה, מהומה; טוֹשֵה طوشة 
לַחַץ; צַ׳עְ׳ט ضغط
מְטוּגָּן; מַקְלִי مَقْلِي
מַתְאִים; מֻנַאסֵבּ مناسب
סוֹחֵר; תַאגֵ׳ר تاجر
רואים עליו; מְבַּיֵّן עַלֵיה مبيّن عليه
בַּרְזֶל (מתכת); חַדִיד حَدِيد
חָמוּר (רע מאוד); חַ׳טִיר خطير
זְקֵנָה (אישה זקנה); עַג׳וּז عجوز
נצחי; אַבַּדִי أَبَدي
שוֹפֵט (בבית משפט אזרחי או מוסלמי); קַאצִ׳י قَاضِي 
גָּדֵר; גִ׳דַאר جِدَار
עזוב אותי; חִלّ עַנִّי حلّ عنّي
מגעיל, דוחה; מֻקְרֵף مقرف
הִזְמִין (אנשים); דַעַא دَعَا
קליפה; קִשְרֵה قِشْرِة
חושים; חַוַאסّ حواسّ
שר המשפטים; וַזִיר אֵלְעַדֵל وزير العدل
מזג האויר; אֵלְחַאלֵה (א)לְגַ׳וִّיֵّה الحالة الجوّيّة
מסוכן; חַ׳טִיר خطير
מצח; ג׳בִּין جبين
גבות; חַוַאגֵ׳בּ حَوَاجِب
לחיים; חְ׳דוּד خدود
מִסְחָר, סַחַר; תִגַ׳ארַה تجارة
מרכז מסחרי; מַרְכַּז תִגַ׳ארִי مركز تجاري
מולדת; וַטַן وطن
אפשרות; אִמכַּאנִיֶّה امكانيّة
בנאי; בַּנַّא بنّا
עישון; תַדְחִ׳ין تدخين
קישוּט; זִינֵה زِينِة
שָׂפָם (בערבית תמיד בלשון רבים); שַוַארֵבּ شَوَارِب
עגיל; חַלַק حلق
כוונה; קַצְד قَصْد
הוֹגֵן, צוֹדֵק; עַאדֵל عَادِل
רוֹעַ, רֶשַע; שַרّ شَرّ
מצפון; צַ׳מִיר ضمير
שליח; רַסוּל رسول
עִישֵן; דַחַّ׳ן دخّن
עטף; עַ׳לַף غلف
יומן; מְפַכִּّרַה مفكّرة 
רצוף, רציף; מֻתַתַאבֵּע متتابع
רשע, רע, מרושע; שַרִיר شرير 
רציף, מזח, מדרכה; רַצִיף رَصِيف
תַּנִּין; תִמְסַאח تِمْسَاح
הבריח, גירש; טַפַّש طفّش 
צָרַח, צָעַק, בָּכָה; עַיַّט عيّط 
סִידֵר; זַבַּّט زبّط 
סיוֶוג; צַנַّף صنّف
שכל; מֻחّ׳ مخّ 
לקח נשימה; אַחַ׳ד׳ נַפַס أخذ نفس
נשם; תְנַפַّס تنفّس
נִרְאֶה; מְבַּיֵّן مْبَيِّن
נרגילה; אַרְגִילֵה أرجيلة
נפקדות, היעדרות; עִ׳יַאבּ غياب
לנצָח, לעד; לִלְאַבַּד للابد
נֵס, פֶּלֶא; מֻעְגִ׳זֵה مُعْجِزِة
נשבע; אַקְסַם اقسم 
נשבע אמונים; חַלַף יַמִין حلف يمين
קַנְקָן; אִבְּרִיק إِبْرِيق
קפדנות, תשומת לב לפרטים; אִנְתִבָּאהְ انتباه
מעולה, נפלא; עַאל عال
זכאי, חף מפשע; בַּרִיאְ بريء
אָשֵׁם; מֻדְ׳נֵבּ مذنب
ציפיה, תַּחֲזִית; תַוַקֹّע تَوَقُّع
נְאוּם; חִ׳טַאבּ خِطَاب
וִילוֹן; סְתַאר سْتَار
גורלי; מָצִירִי مصيري
הִתְנַחְלוּת; מֻסְתַוְטַנֵה مُسْتَوْطَنِة
דור; גִ׳יל جيل
דרכים; טֻרֻק طرق
חרדה, חשש; קַלַק قلق
קיבה; מִעְדֵה معدة
שאר; בַּאקִי بَاقِي
אסף, חיבר; גַ׳מַע جَمَع
טוב; מְלִיח  مليح
עד ראיה; שַאהֵד עַיַאן شَاهِد عَيَان
עֵד; שַאהֵד شَاهِد
ריס; רִמְש, רַמְש رمش
גבה; חַאגֵ׳בּ حاجب
עלייה לרגל; חַגّ׳ حَجّ
פסק דין;  חֻכֻּם حُكم
שוֹפֵט; חַאכֵּם  حَاكِم
חָלִיל (כלי נגינה); שֻבַּّאבֵּה شُبَّابِة
הִתְעַלְּמוּת; תַטְנִיש تَطْنِيش
הזיז; חַרַّכּ حرّك
ברור; וַאצֵ׳ח واضح
תֻּכִּי; בַּבַּّעַ׳אא ببّغاء
התבדח, לעג ל...; תְמַסְחַ׳ר تمسخر
דובר; נַאטֵק ناطق
הִפְסִיק, כְּבָר לֹא; בַּטַّל بطّل
רציפים, מזחים; אַרְצִפֵה ارصفة
צואר; רַקַבֵּה رقبة
דורות; אַגְ׳יַאל اجيال
חוש; חַאסֵّה حاسّة
חוש הראייה; חַאסֵّת אלְבַּצַר حاسّة البصر
סוחרים; תֻגַّ׳אר تجّار
נייר זכוכית; וַרַקַת קְזַאז ورقة قزاز
יציאה (פעולה); חֻ׳רוּג׳ خروج
מִיסְיוֹנֶר (מפיץ דת); מֻבַּשֵّר مُبَشِّر
סָחַר (עסק במסחר); תַאגַ׳ר تَاجَر
טבק; תַבַּע׳ تبغ
לחי; חַ׳דّ خدّ
סבל, נשא; טַאק طاق
עִישֵן (נרגילה); שִרֵבּ شرب
דָרַך (על); דַעַס עַלַא دعس على
נשא נאום (או דרשה); חָ׳טָבּ خطب
מאורס; חָ׳אטֶבּ خاطب
טִיגֵּן; קַלַא قَلَى
בירר; וַצַﬞ׳ח وضّح
הבהיר, פירש; וַצַّ׳ח وضّح
תֶּקַע (חשמלי); פִיש فِيش 
חינוכי; תַרְבַּוִי تربوي
מועדף; מְפַצַّ׳ל مفضّل
חֶבְרֶ׳ה; שַבַּאבּ וצַבַּאיַא شباب وصَبَايَا
הפריע, הציק; אַזְעַג׳ أزعج 
היעדרות; עֵ׳יבֵּה غيبة
לָחַץ (פועל); צַ׳עַ׳ט ضغط
תופים; טְבּוּל طبول
תוף; טַבְּל طَبْل
כֶּרֶס (בטן גדולה); כַּרְש كَرْش
מִייֵּן; צַנַّף صَنَّف
עָשָה סְפּוֹנְגָ׳ה; קַשّ قشّ
ארוחת חג, משתה, סעודה; עְזוּמֵה عزومة
ביטול; אִלְעַ׳אא الغاء
פּיטֵר; פַצַל فصل
שופט (בכדורגל); חַכַּם حكم
לַחַץ (על כפתור, במחשב); כַּבַּס كبس
אמבולנס; סַיַّארַת אִסְעַאף سيّارة إسعاف
הִתְכַּווֵּן; נַוַא نوى
מערכת מידע; נִטַ׳אם מַעְלוּמַאת نظام معلومات
עמיתים (חברים ללימודים/עבודה); זֻמַלַאא زملاء
חוש הריח; חַאסֵّת אֵ(ל)שַّםّ حاسّة الشّمّ
רחץ; עַ׳סַّל غسّل
מצרכים (של קניות); אַעְ׳רַאץ׳ أغراض
הֵעִיד; שַהַד شهد
עדים; שְהוּד شهود
התאסף, התקהל, הצטבר; תְגַ׳מַّע تجَمَّع
הפליץ; צַ׳רַט ضرط
קידום, העלאה בדרגה; תַרְקִיֵה تَرْقِيِة
חֵטְא, אשמה; דַ׳נְבּ ذنب
צִייֵּת; טַאוַע طاوع
בּוֹגֵר (אוניברסיטה); חַ׳רִّיג׳ خرّيج
מִשְׁקָל (מכשיר למדידת משקל); מִיזַאן مِيزَان
